"First Name","Last Name",Company,Email,Phone,Street,City,State,Zipcode
Jan,Brown,,teostest6@gmail.com,555-555-5555,"54 Walnut St",Chesterfield,MO,63005
Michael,McKeever,"Waterway Gas & Wash",mpmckeever914@gmail.com,636-614-8790,"727 Goddard Ave",Chesterfield,MO,63005
Dave,Martin,"Dave's General Store",teostest6@gmail.com,555-555-5555,"155 N Jefferson St","St. Louis",MO,63125
Bob,Henson,"Bob's Pizza",teostest6@gmail.com,787-956-2121,"63 Market St","St. Louis",MO,63125
"Shop N Save","Shop N Save","Shop N Save",teostest6@gmail.com,555-555-5555,"225 W Clay St","St. Charles",MO,63376
Jack,Fisher,"Fisher Auto",teostest6@gmail.com,555-555-5555,"897 Olive Blvd",Chesterfield,MO,63005
Robert,Samson,,teostest6@gmail.com,555-555-5555,"544 Jefferson St","St. Louis",MO,63125
Will,Smith,,teostest6@gmail.com,555-555-5555,"642 Smith St","Los Angeles",CA,90210
Joe,Schmoe,"Joe's Bar",teostest6@gmail.com,555-555-5555,"522 Cardinal St","St. Louis",MO,63125
Andrew,Tannehill,,teostest6@gmail.com,555-555-5555,"178 Old Oak Rd","St. Louis",MO,63125
Sam,Tarley,,teostest6@gmail.com,555-555-5555,"123 Cold Rd","St. Louis",MO,63366
